Datetime,S&P,DowJones,NASDAQ
2022-02-08 13:30:00-05:00,4520.6298828125,35464.30078125,14174.3603515625
2022-02-08 14:30:00-05:00,4520.330078125,35471.98046875,14178.1494140625
2022-02-08 15:30:00-05:00,4531.31982421875,35544.890625,14226.1240234375
2022-02-09 09:30:00-05:00,4575.85009765625,35776.4296875,14409.619140625
2022-02-09 10:30:00-05:00,4582.18994140625,35824.28125,14424.658203125
2022-02-09 11:30:00-05:00,4576.97021484375,35758.48046875,14418.044921875
2022-02-09 12:30:00-05:00,4580.5400390625,35740.80859375,14441.291015625
2022-02-09 13:30:00-05:00,4586.52001953125,35788.19921875,14462.40234375
2022-02-09 14:30:00-05:00,4587.9501953125,35817.73828125,14471.0498046875
2022-02-09 15:30:00-05:00,4590.02978515625,35811.0390625,14489.1240234375
2022-02-10 09:30:00-05:00,4580.81982421875,35786.8515625,14464.6064453125
2022-02-10 10:30:00-05:00,4588.919921875,35800.23828125,14509.5546875
2022-02-10 11:30:00-05:00,4575.83984375,35717.1015625,14473.126953125
2022-02-10 12:30:00-05:00,4576.60986328125,35735.9296875,14474.548828125
2022-02-10 13:30:00-05:00,4532.72998046875,35402.37109375,14314.4853515625
2022-02-10 14:30:00-05:00,4527.91015625,35359.828125,14299.3271484375
2022-02-10 15:30:00-05:00,4510.740234375,35283.55078125,14210.185546875
2022-02-11 09:30:00-05:00,4526.330078125,35431.1484375,14246.400390625
2022-02-11 10:30:00-05:00,4515.7001953125,35416.78125,14202.8359375
2022-02-11 11:30:00-05:00,4497.52978515625,35288.69140625,14115.494140625
2022-02-11 12:30:00-05:00,4493.9501953125,35257.828125,14109.171875
2022-02-11 13:30:00-05:00,4468.990234375,35092.828125,14012.4482421875
2022-02-11 14:30:00-05:00,4440.259765625,34927.890625,13868.875
2022-02-11 15:30:00-05:00,4435.66015625,34857.609375,13854.4814453125
2022-02-14 09:30:00-05:00,4423.4599609375,34744.55859375,13883.162109375
2022-02-14 10:30:00-05:00,4412.1298828125,34529.171875,13919.326171875
2022-02-14 11:30:00-05:00,4419.509765625,34651.80859375,13917.9189453125
2022-02-14 12:30:00-05:00,4426.22021484375,34729.23828125,13921.7138671875
2022-02-14 13:30:00-05:00,4410.81005859375,34612.48046875,13838.7158203125
2022-02-14 14:30:00-05:00,4404.5,34571.8984375,13809.529296875
2022-02-14 15:30:00-05:00,4412.1201171875,34650.828125,13830.2900390625
2022-02-15 09:30:00-05:00,4467.47021484375,35047.7890625,14051.0185546875
2022-02-15 10:30:00-05:00,4470.2001953125,35042.26953125,14069.3330078125
2022-02-15 11:30:00-05:00,4468.990234375,35032.25,14089.37109375
2022-02-15 12:30:00-05:00,4464.72998046875,34978.23828125,14070.2802734375
2022-02-15 13:30:00-05:00,4466.330078125,34991.3203125,14087.421875
2022-02-15 14:30:00-05:00,4469.7001953125,34983.96875,14122.6005859375
2022-02-15 15:30:00-05:00,4472.77001953125,35008.55078125,14141.3779296875
2022-02-16 09:30:00-05:00,4457.9501953125,34965.23828125,14041.1552734375
2022-02-16 10:30:00-05:00,4446.68994140625,34810.140625,14017.271484375
2022-02-16 11:30:00-05:00,4449.169921875,34802.078125,14015.4677734375
2022-02-16 12:30:00-05:00,4443.06005859375,34740.48046875,13988.2255859375
2022-02-16 13:30:00-05:00,4472.47998046875,34934.26953125,14101.6494140625
2022-02-16 14:30:00-05:00,4485.7099609375,35009.05078125,14161.6806640625
2022-02-16 15:30:00-05:00,4489.5498046875,35042.08984375,14163.73046875
2022-02-17 09:30:00-05:00,4456.06005859375,34858.46875,14020.1484375
2022-02-17 10:30:00-05:00,4427.47021484375,34552.41015625,13940.12890625
2022-02-17 11:30:00-05:00,4429.68017578125,34585.0390625,13937.1650390625
2022-02-17 12:30:00-05:00,4427.0498046875,34591.98046875,13902.7021484375
2022-02-17 13:30:00-05:00,4417.60986328125,34584.12890625,13856.3447265625
2022-02-17 14:30:00-05:00,4402.10009765625,34445.6796875,13813.9384765625
2022-02-17 15:30:00-05:00,4394.2998046875,34392.30859375,13770.8056640625
2022-02-18 09:30:00-05:00,4394.60009765625,34423.578125,13761.9423828125
2022-02-18 10:30:00-05:00,4376.89013671875,34319.5703125,13646.6875
2022-02-18 11:30:00-05:00,4363.39990234375,34221.28125,13598.4638671875
2022-02-18 12:30:00-05:00,4352.580078125,34132.8984375,13572.2392578125
2022-02-18 13:30:00-05:00,4371.7998046875,34274.1796875,13632.30859375
2022-02-18 14:30:00-05:00,4381.7099609375,34319.44140625,13674.7255859375
2022-02-18 15:30:00-05:00,4362.919921875,34186.5703125,13594.6083984375
2022-02-22 09:30:00-05:00,4362.06005859375,34024.73828125,13617.296875
2022-02-22 10:30:00-05:00,4362.1201171875,34016.0703125,13614.8896484375
2022-02-22 11:30:00-05:00,4331.18994140625,33850.87109375,13442.4111328125
2022-02-22 12:30:00-05:00,4314.259765625,33732.3515625,13392.37890625
2022-02-22 13:30:00-05:00,4299.81982421875,33597.37109375,13358.771484375
2022-02-22 14:30:00-05:00,4335.6201171875,33797.80859375,13519.8505859375
2022-02-22 15:30:00-05:00,4325.39013671875,33735.96875,13477.1337890625
2022-02-23 09:30:00-05:00,4341.509765625,33832.58984375,13530.6591796875
2022-02-23 10:30:00-05:00,4302.02001953125,33581.078125,13358.654296875
2022-02-23 11:30:00-05:00,4309.7900390625,33676.1796875,13374.2646484375
2022-02-23 12:30:00-05:00,4310.2900390625,33682.03125,13372.5830078125
2022-02-23 13:30:00-05:00,4279.89013671875,33478.37890625,13244.205078125
2022-02-23 14:30:00-05:00,4254.740234375,33309.80859375,13157.466796875
2022-02-23 15:30:00-05:00,4245.7099609375,33253.76171875,13122.7607421875
2022-02-24 09:30:00-05:00,4188.85986328125,32830.328125,13012.6103515625
2022-02-24 10:30:00-05:00,4202.2998046875,32663.359375,13088.498046875
2022-02-24 11:30:00-05:00,4195.58984375,32598.75,13076.1708984375
2022-02-24 12:30:00-05:00,4189.77001953125,32522.7109375,13066.4365234375
2022-02-24 13:30:00-05:00,4220.419921875,32737.7109375,13204.291015625
2022-02-24 14:30:00-05:00,4257.77978515625,33007.19921875,13364.587890625
2022-02-24 15:30:00-05:00,4294.72998046875,33269.33984375,13485.08984375
2022-02-25 09:30:00-05:00,4328.72998046875,33616.51171875,13523.9384765625
2022-02-25 10:30:00-05:00,4364.35009765625,33853.53125,13630.8837890625
2022-02-25 11:30:00-05:00,4376.7900390625,33967.23828125,13672.1630859375
2022-02-25 12:30:00-05:00,4380.1201171875,34028.2109375,13668.6240234375
2022-02-25 13:30:00-05:00,4383.85009765625,34095.73828125,13655.107421875
2022-02-25 14:30:00-05:00,4382.27978515625,34053.9296875,13669.357421875
2022-02-25 15:30:00-05:00,4385.33984375,34069.76171875,13696.4248046875
2022-02-28 09:30:00-05:00,4354.169921875,33870.62109375,13661.82421875
2022-02-28 10:30:00-05:00,4385.60986328125,33949.01953125,13793.255859375
2022-02-28 11:30:00-05:00,4388.83984375,33963.62890625,13810.259765625
2022-02-28 12:30:00-05:00,4360.89013671875,33797.6484375,13705.7109375
2022-02-28 13:30:00-05:00,4356.77978515625,33765.921875,13692.4072265625
2022-02-28 14:30:00-05:00,4348.83984375,33718.3515625,13661.4404296875
2022-02-28 15:30:00-05:00,4376.27001953125,33912.46875,13757.0888671875
2022-03-01 09:30:00-05:00,4378.4501953125,33870.140625,13772.4697265625
2022-03-01 10:30:00-05:00,4358.39990234375,33586.859375,13777.0400390625
2022-03-01 11:30:00-05:00,4336.16015625,33450.69921875,13652.2216796875
2022-03-01 12:30:00-05:00,4326.240234375,33367.1015625,13632.6708984375
2022-03-01 13:30:00-05:00,4312.4501953125,33311.01953125,13576.11328125
2022-03-01 14:30:00-05:00,4328.43017578125,33432.0,13622.3642578125
2022-03-01 15:30:00-05:00,4309.43994140625,33317.66015625,13544.5380859375
2022-03-02 09:30:00-05:00,4356.0,33688.19140625,13654.8125
2022-03-02 10:30:00-05:00,4381.08984375,33900.94921875,13702.794921875
2022-03-02 11:30:00-05:00,4388.77978515625,33948.26953125,13727.6220703125
2022-03-02 12:30:00-05:00,4397.60009765625,33978.12109375,13767.9521484375
2022-03-02 13:30:00-05:00,4401.14013671875,34013.671875,13788.3408203125
2022-03-02 14:30:00-05:00,4398.7998046875,33985.28125,13786.3408203125
2022-03-02 15:30:00-05:00,4401.47998046875,33982.9609375,13796.548828125
2022-03-03 09:30:00-05:00,4416.77978515625,34179.0703125,13835.2919921875
2022-03-03 10:30:00-05:00,4386.7001953125,33973.30859375,13656.0537109375
2022-03-03 11:30:00-05:00,4379.3701171875,33890.73828125,13637.5791015625
2022-03-03 12:30:00-05:00,4397.9599609375,34024.76171875,13697.8056640625
2022-03-03 13:30:00-05:00,4397.77001953125,34059.73828125,13675.1904296875
2022-03-03 14:30:00-05:00,4392.83984375,34031.58984375,13641.8447265625
2022-03-03 15:30:00-05:00,4370.4501953125,33873.1796875,13543.3486328125
2022-03-04 09:30:00-05:00,4342.1201171875,33655.4296875,13486.4873046875
2022-03-04 10:30:00-05:00,4310.35986328125,33424.91015625,13351.3935546875
2022-03-04 11:30:00-05:00,4323.93017578125,33570.578125,13358.16796875
2022-03-04 12:30:00-05:00,4339.47998046875,33654.8984375,13399.5302734375
2022-03-04 13:30:00-05:00,4333.97021484375,33600.390625,13379.7177734375
2022-03-04 14:30:00-05:00,4321.60986328125,33520.8203125,13310.2509765625
2022-03-04 15:30:00-05:00,4331.66015625,33636.98046875,13321.990234375
2022-03-07 09:30:00-05:00,4327.009765625,33579.75,13351.328125
2022-03-07 10:30:00-05:00,4276.97998046875,33252.87890625,13132.2861328125
2022-03-07 11:30:00-05:00,4269.830078125,33209.16015625,13119.259765625
2022-03-07 12:30:00-05:00,4248.25,33079.69140625,13074.021484375
2022-03-07 13:30:00-05:00,4245.009765625,33087.75,13018.56640625
2022-03-07 14:30:00-05:00,4234.6201171875,33012.51953125,12982.6806640625
2022-03-07 15:30:00-05:00,4221.06982421875,32956.48046875,12916.2685546875
